external_id,location_name,property_name,country,address,title,description
PROP-0001,Tokyo,Tokyo Park Apartment,Japan,796 Elm Road,Cozy Apartment,Excellent connectivity to major attractions
PROP-0002,Tokyo,Tokyo Quarter Condo,Japan,612 Elm Street,Luxury Condo in Historic District,Ideal for short or long term stays
PROP-0003,Tokyo,Central Tokyo Penthouse,Japan,784 Elm Road,Central Penthouse in Historic District,Located in a vibrant neighborhood
PROP-0004,Tokyo,Tokyo Square Penthouse,Japan,560 Elm Plaza,Central Penthouse,Recently renovated with modern amenities
PROP-0005,Tokyo,Elegant Tokyo Flat,Japan,321 King Way,Flat with Natural Light,Recently renovated with modern amenities
PROP-0006,Tokyo,Tokyo Park Loft,Japan,166 Market Way,Charming Loft in Downtown,Perfect for professionals and families
PROP-0007,Tokyo,Modern Tokyo Flat,Japan,345 First Street,Flat with Modern Kitchen,Walking distance to shops and restaurants
PROP-0008,Tokyo,Waterfront Tokyo Loft,Japan,692 Oak Lane,Waterfront Historic District Loft,Located in a vibrant neighborhood
PROP-0009,Tokyo,Tokyo Heights Penthouse,Japan,239 Queen Road,Urban Penthouse,Quiet area with easy access to city center
PROP-0010,Tokyo,Tokyo Center Flat,Japan,846 Second Drive,Central Flat in Central,Walking distance to shops and restaurants
PROP-0011,Seoul,Luxury Seoul Loft,South Korea,61 Second Road,Luxury Loft,Perfect for professionals and families
PROP-0012,Seoul,Seoul Quarter Flat,South Korea,339 Main Avenue,Luxury Central Flat,Quiet area with easy access to city center
PROP-0013,Seoul,Waterfront Seoul Townhouse,South Korea,163 Oak Way,Waterfront Central Townhouse,Quiet area with easy access to city center
PROP-0014,Seoul,Seoul Park Studio,South Korea,507 Main Way,Spacious Studio,Fully furnished and ready to move in
PROP-0015,Seoul,Seoul Heights Flat,South Korea,569 King Lane,Downtown Flat,Ideal for short or long term stays
PROP-0016,Seoul,Elegant Seoul Loft,South Korea,982 High Drive,Elegant Loft in City Center,Ideal for short or long term stays
PROP-0017,Seoul,Modern Seoul Studio,South Korea,960 Oak Street,Modern Historic District Studio,Quiet area with easy access to city center
PROP-0018,Seoul,Seoul District Condo,South Korea,154 Elm Road,Cozy Condo,Ideal for short or long term stays
PROP-0019,Seoul,Seoul Park Apartment,South Korea,586 Queen Street,Apartment with Natural Light,Perfect for professionals and families
PROP-0020,Seoul,Elegant Seoul Flat,South Korea,527 Oak Lane,Flat with City Views,Excellent connectivity to major attractions
PROP-0021,Bangkok,Bangkok District Townhouse,Thailand,169 Queen Way,Designer Downtown Townhouse,Recently renovated with modern amenities
PROP-0022,Bangkok,Bangkok Square Penthouse,Thailand,390 First Drive,Designer Central Penthouse,Near parks and recreational facilities
PROP-0023,Bangkok,Downtown Bangkok Loft,Thailand,133 Elm Drive,Downtown Loft in Central,Walking distance to shops and restaurants
PROP-0024,Bangkok,Bangkok Park Studio,Thailand,669 Market Plaza,Stylish Studio,Near parks and recreational facilities
PROP-0025,Bangkok,Bangkok District Studio,Thailand,132 Oak Plaza,Luxury Studio,Recently renovated with modern amenities
PROP-0026,Bangkok,Bangkok Park Penthouse,Thailand,567 High Lane,Cozy Penthouse in City Center,Quiet area with easy access to city center
PROP-0027,Bangkok,Bangkok Square Residence,Thailand,180 Oak Avenue,Historic Residence,Excellent connectivity to major attractions
PROP-0028,Bangkok,Bangkok Center Loft,Thailand,249 High Plaza,Historic City Center Loft,Located in a vibrant neighborhood
PROP-0029,Bangkok,Bangkok Quarter Townhouse,Thailand,1 Second Lane,Townhouse with Rooftop Access,Perfect for professionals and families
PROP-0030,Bangkok,Elegant Bangkok Studio,Thailand,950 Park Boulevard,Elegant Studio in Downtown,Perfect for professionals and families
PROP-0031,Singapore,Singapore Heights Loft,Singapore,628 Second Avenue,Loft with Great Views,Excellent connectivity to major attractions
PROP-0032,Singapore,Singapore Quarter Residence,Singapore,601 Market Lane,Spacious Residence in City Center,Recently renovated with modern amenities
PROP-0033,Singapore,Luxury Singapore Residence,Singapore,128 Market Drive,Luxury City Center Residence,Near parks and recreational facilities
PROP-0034,Singapore,Premium Singapore Apartment,Singapore,467 Oak Lane,Apartment with Great Views,Recently renovated with modern amenities
PROP-0035,Singapore,Singapore Square Flat,Singapore,778 Queen Street,Luxury Historic District Flat,Recently renovated with modern amenities
PROP-0036,Singapore,Singapore Quarter Suite,Singapore,836 Oak Avenue,Suite with City Views,Near parks and recreational facilities
PROP-0037,Singapore,Charming Singapore Loft,Singapore,813 Second Plaza,Charming Central Loft,Quiet area with easy access to city center
